question,subject,use,correct,responseA,responseB,responseC,responseD,remark
Exemple de question vrai/faux,Exemple,Exemple,A,Vrai,Faux,,,C'est pas faux
Exemple de question à 4 propositions,Exemple,Exemple,D,la réponse A,la réponse B,la réponse C,la réponse D,
Exemple de question à 4 propositions dont 2 correctes,Exemple,Exemple,"C D",Faux,Incorrect,Vrai,C'est pas faux,
Exemple de question à 7 réponses (fusion),Exemple,Exemple,"C, D",random reponse,autre réponse,vrai,la réponse D,
Exemple de question à 7 réponses (fusion),Exemple,Exemple,"A B",réponse vraie,autre réponse vraie,faux,,
Question brouillon sans réponse correcte,Exemple,Exemple,,ceci,cela,autre,
une autre question test avec ponctuation,Exemple,Exemple,D,random reponse,autre réponse,vrai,la réponse D,
une autre question test avec ponctuation?,Exemple,Exemple,D,random reponse,autre réponse,vrai,la réponse D,
Question pour mettre tout le monde d'accord,Exemple,Exemple,"A B C D",c'est vrai,c'est encore vrai,c'est toujours vrai,la réponse D,C'est pas faux
Quelle est la vitesse d'une hirondelle portant une noix de coco,Exemple,Exemple,"B, C",42,d'Afrique ?,d'Europe ?,la réponse d
"C'est une bonne situation, ça, Scribe ?",Exemple,Exemple,"C",Oui,Non,"Vous savez, moi je ne crois pas qu'il y ait de bonne ou de mauvaise situation. Moi, si je devais résumer ma vie aujourd'hui avec vous, je dirais que c'est d'abord des rencontres. Des gens qui m'ont tendu la main, peut-être à un moment où je ne pouvais pas, où j'étais seul chez moi. Et c'est assez curieux de se dire que les hasards, les rencontres, forgent une destinée... Parce que quand on a le goût de la chose, quand on a le goût de la chose bien faite, le beau geste, parfois on ne trouve pas l'interlocuteur en face je dirais, le miroir qui vous aide à avancer. Alors ça n'est pas mon cas, comme je disais là, puisque moi au contraire, j'ai pu : et je dis merci à la vie, je lui dis merci, je chante la vie, je danse la vie... je ne suis qu'amour ! Et finalement, quand beaucoup de gens aujourd'hui me disent « Mais comment fais-tu pour avoir cette humanité ? », et bien je leur réponds très simplement, je leur dis que c'est ce goût de l'amour ce goût donc qui m'a poussé aujourd'hui à entreprendre une construction mécanique, mais demain qui sait ? Peut-être simplement à me mettre au service de la communauté, à faire le don, le don de soi..."
